supplement_name,category,description,used_for,benefits,how_it_works,recommended_dosage,recommended_timing,bioavailability_notes,clinical_description,tags,source_url,notes
Chromium,Metabolic Health,Chromium is a mineral that occurs naturally in the earth’s crust and is found in small amounts in a variety of foods.,Metabolic Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,"Chromium may affect metabolic signaling, glucose handling, or lipid-related pathways.","In research, chromium is generally supplemented at dosages ranging from 200–1000 µg daily. However, consistent dose-dependent responses haven’t been observed, and it’s unclear what an optimal dose of chromium might be.[1] Supplemental chromium is available in a variety of forms, with chromium picolinate, chromium nicotinate, chromium chloride, and chromium-enriched yeast being the most commonly studied forms.","Daily, following dosage notes.",,"Chromium is a mineral that occurs naturally in the earth’s crust and is found in small amounts in a variety of foods. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Chromium may affect metabolic signaling, glucose handling, or lipid-related pathways. Paraphrased from public Examine page extraction; educational only.",metabolic-health;blood-sugar,https://examine.com/supplements/chromium/,Paraphrased from public Examine page extraction; educational only.
Chrysin,General Health,A flavonoid compound found in bee pollen and propolis.,General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Chrysin clinically.,"Due to the poor bioavailability, the standard supplemental doses of chrysin (400-3,000mg) appear to be pretty much ineffective. Although enhancing absorption can theoretically aid in chryin's effects, this has not yet been demonstrated and thus supplementation of chrysin cannot be recommended for systemic purposes. A supplemental dose of 400mg chrysin should be sufficient for intestinal related issues.",,,A flavonoid compound found in bee pollen and propolis. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Chrysin clinically. Paraphrased from public Examine page extraction; educational only.,general-health;hormones,https://examine.com/supplements/chrysin/,Paraphrased from public Examine page extraction; educational only.
Cinnamon,Metabolic Health,Cinnamon is a spice derived from the bark of trees in the Cinnamomum genus.,Metabolic Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Cinnamon is discussed in relation to oxidative-stress or inflammatory pathways.,"Formulations: Powder, stick, and tablets. Range of dosages studied: 0.1 to 14 grams per day (g/day). Effective Dosages: Glycemic control (including blood glucose and HbA1c) Adults: Due to a lack of dose-response studies and variable findings from meta-regression studies, the precise effective dosage for improving glycemic control is uncertain,","Daily, following dosage notes.",,Cinnamon is a spice derived from the bark of trees in the Cinnamomum genus. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Cinnamon is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction; educational only.,metabolic-health;blood-sugar;lipids;inflammation;heart-health,https://examine.com/supplements/cinnamon/,Paraphrased from public Examine page extraction; educational only.
Cissus quadrangularis,Muscle Gain & Exercise,"Cissus quadrangularis is a traditional medicine for joint and bone health (as well as various feminine disorders and menopause), and shows promise in promoting bone growth rates.",Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,"Cissus quadrangularis is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain.","The one study that reported a benefit with oral supplementation in humans (for the purpose of reducing joint pain) used 3,200 mg of Cissus quadrangularis as a daily supplement, which is also in the range that animal studies suggest for sedative and pain-killing effects that should occur with the water extract. Elsewhere,","Daily, following dosage notes.",,"Cissus quadrangularis is a traditional medicine for joint and bone health (as well as various feminine disorders and menopause), and shows promise in promoting bone growth rates. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Cissus quadrangularis is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain. Paraphrased from public Examine page extraction; educational only.",muscle-gain-exercise;cognition;exercise,https://examine.com/supplements/cissus-quadrangularis/,Paraphrased from public Examine page extraction; educational only.
Citric Acid,Muscle Gain & Exercise,"Citric Acid is an intermediate in the Krebs Cycle, and technically crucial for cellular functioning and energy production.",Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Citric Acid likely works by correcting or supporting nutrient-dependent physiological processes.,"Alkalinizing effects of Citric acid supplementation have been shown in high doses of 0.1g/kg bodyweight, which is 8.2g a day for a 180lb person.","Daily, following dosage notes.",,"Citric Acid is an intermediate in the Krebs Cycle, and technically crucial for cellular functioning and energy production. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Citric Acid likely works by correcting or supporting nutrient-dependent physiological processes. Paraphrased from public Examine page extraction; educational only.",muscle-gain-exercise;cognition;exercise;stimulant;hormones,https://examine.com/supplements/citric-acid/,Paraphrased from public Examine page extraction; educational only.
Citrulline,General Health,"L-Citrulline, or simply just citrulline, is a nonessential amino acid.",General Health,Potential benefits are context-specific; review the source evidence before using Citrulline in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Citrulline clinically.,"To supplement L-citrulline for circulatory health or to alleviate erectile dysfunction, take 2,000 mg of citrulline, three times a day with meals, for a total daily dose of 6,000 mg. L-citrulline does not need to be taken with meals, however. To supplement for circulatory health with a citrulline malate supplement, take 1.76 g of citrulline malate for every 1 gram of citrulline you would normally take.",With or shortly after meals.,,"L-Citrulline, or simply just citrulline, is a nonessential amino acid. Potential benefits are context-specific; review the source evidence before using Citrulline in a protocol. Mechanism details are not clear from the public summary; review the source before applying Citrulline clinically. Paraphrased from public Examine page extraction; educational only.",general-health;cognition;exercise;hormones;heart-health,https://examine.com/supplements/citrulline/,Paraphrased from public Examine page extraction; educational only.
Clary Sage,General Health,Salvia sclarea (clary sage) is a herb commonly used as an aromatic and belongs to the mint family of plants.,General Health,Potential benefits are context-specific; review the source evidence before using Clary Sage in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Clary Sage clinically.,Examine Database,,,Salvia sclarea (clary sage) is a herb commonly used as an aromatic and belongs to the mint family of plants. Potential benefits are context-specific; review the source evidence before using Clary Sage in a protocol. Mechanism details are not clear from the public summary; review the source before applying Clary Sage clinically. Paraphrased from public Examine page extraction; educational only.,general-health;heart-health,https://examine.com/supplements/clary-sage/,Paraphrased from public Examine page extraction; educational only.
Clove,General Health,"Clove (Syzygium aromaticum) is a spice that has traditional usage as an aphrodisiac as well as for dental disorders, respiratory disorders, headache, and sore throat.",General Health,Potential benefits are context-specific; review the source evidence before using Clove in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Clove clinically.,No clear public dosage summary extracted; review source before use.,,,"Clove (Syzygium aromaticum) is a spice that has traditional usage as an aphrodisiac as well as for dental disorders, respiratory disorders, headache, and sore throat. Potential benefits are context-specific; review the source evidence before using Clove in a protocol. Mechanism details are not clear from the public summary; review the source before applying Clove clinically. Check pregnancy/lactation safety before client use.",general-health,https://examine.com/supplements/clove/,Check pregnancy/lactation safety before client use.
Clubmoss,Mental Health,"Clubmoss (common word to refer to the Lycopodium/Huperzia genera of plants) is a collection of plants with traditional usage in promoting memory formation, and appears to have a large collection of unique alkaloids.",Mental Health,Potential benefits are context-specific; review the source evidence before using Clubmoss in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Clubmoss clinically.,No clear public dosage summary extracted; review source before use.,,,"Clubmoss (common word to refer to the Lycopodium/Huperzia genera of plants) is a collection of plants with traditional usage in promoting memory formation, and appears to have a large collection of unique alkaloids. Potential benefits are context-specific; review the source evidence before using Clubmoss in a protocol. Mechanism details are not clear from the public summary; review the source before applying Clubmoss clinically. Check pregnancy/lactation safety before client use.",mental-health;cognition,https://examine.com/supplements/clubmoss/,Check pregnancy/lactation safety before client use.
Cnidium monnieri,General Health,"A pro-erectile herb from traditional Chinese medicine, Cnidium monnieri and its main bioactive known as osthole appear to have mechanisms similar to Viagra in penile tissue and the hippocampus; the influence of Cnidium monnieri on testosterone and cognition re",General Health,Potential benefits are context-specific; review the source evidence before using Cnidium monnieri in a protocol.,"Cnidium monnieri is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain.","Since there is no information on Osthole consumption in isolation, the best lead currently is the dose of Cnidium fruits or seeds used in Traditional Medicine; which is 6-15g of either fruit or seed",,,"A pro-erectile herb from traditional Chinese medicine, Cnidium monnieri and its main bioactive known as osthole appear to have mechanisms similar to Viagra in penile tissue and the hippocampus; the influence of Cnidium monnieri on testosterone and cognition re Potential benefits are context-specific; review the source evidence before using Cnidium monnieri in a protocol. Cnidium monnieri is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain.",general-health;cognition;exercise;hormones,https://examine.com/supplements/cnidium-monnieri/,Check pregnancy/lactation safety before client use.
Cocoa Extract,Immune & Inflammation,"Cocoa, a powder that is rich in polyphenols, is used to make chocolate.",Immune & Inflammation,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Cocoa Extract is discussed in relation to oxidative-stress or inflammatory pathways.,"Formulation: Cocoa is a powder that can be consumed in drinks, for example, or made into chocolate.[1] The flavanol content in cocoa varies based on the variety and ripeness of the cocoa beans and the processing steps applied. Dark chocolate contains larger amounts of cocoa (more than 50%) than milk chocolate (20%–30%).[1] Range of dosages studied: Dosages of 1 to 105 grams per day of cocoa or cocoa products (e.g.,","Daily, following dosage notes.",,"Cocoa, a powder that is rich in polyphenols, is used to make chocolate. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Cocoa Extract is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction; educational only.",immune-inflammation;blood-sugar;inflammation;heart-health,https://examine.com/supplements/cocoa-extract/,Paraphrased from public Examine page extraction; educational only.
Cod Liver Oil,Gut Health,Cod liver oil is the oil extracted from the liver of cod fish.,Gut Health,Potential benefits are context-specific; review the source evidence before using Cod Liver Oil in a protocol.,Cod Liver Oil likely works by correcting or supporting nutrient-dependent physiological processes.,No clear public dosage summary extracted; review source before use.,,,Cod liver oil is the oil extracted from the liver of cod fish. Potential benefits are context-specific; review the source evidence before using Cod Liver Oil in a protocol. Cod Liver Oil likely works by correcting or supporting nutrient-dependent physiological processes. Check pregnancy/lactation safety before client use.,gut-health,https://examine.com/supplements/cod-liver-oil/,Check pregnancy/lactation safety before client use.
Coenzyme Q10,Muscle Gain & Exercise,Coenzyme Q10 is a molecule found in mitochondria that has a critical role in producing energy for the body.,Muscle Gain & Exercise,Potential benefits are context-specific; review the source evidence before using Coenzyme Q10 in a protocol.,Coenzyme Q10 is discussed in relation to oxidative-stress or inflammatory pathways.,"The total daily requirement for coenzyme Q10 (CoQ10), encompassing both endogenous synthesis and external sources like food or supplements, is estimated to be approximately 500 mg per day. Notably, only a minimal amount of around 5 mg daily is typically acquired through dietary intake.[1][2] For supplementation,","Daily, following dosage notes.",,Coenzyme Q10 is a molecule found in mitochondria that has a critical role in producing energy for the body. Potential benefits are context-specific; review the source evidence before using Coenzyme Q10 in a protocol. Coenzyme Q10 is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction; educational only.,muscle-gain-exercise;stimulant;hormones,https://examine.com/supplements/coenzyme-q10/,Paraphrased from public Examine page extraction; educational only.
Coffee Pulp Extract,Muscle Gain & Exercise,"Coffee pulp extract is a supplement made from the by-products of coffee production, including the husks, skin, and spent coffee beans.",Muscle Gain & Exercise,Potential benefits are context-specific; review the source evidence before using Coffee Pulp Extract in a protocol.,"Coffee Pulp Extract appears to act mainly through stimulant-like nervous-system pathways that can affect energy, alertness, or exertion.",No clear public dosage summary extracted; review source before use.,,,"Coffee pulp extract is a supplement made from the by-products of coffee production, including the husks, skin, and spent coffee beans. Potential benefits are context-specific; review the source evidence before using Coffee Pulp Extract in a protocol. Coffee Pulp Extract appears to act mainly through stimulant-like nervous-system pathways that can affect energy, alertness, or exertion. Check pregnancy/lactation safety before client use.",muscle-gain-exercise;stimulant,https://examine.com/supplements/coffee-pulp-extract/,Check pregnancy/lactation safety before client use.
Coleus forskohlii,Metabolic Health,"Coleus forskohlii is an Ayurvedic herb. Extremely limited research suggests that forskolin, the plant’s main bioactive compound, may reduce intraocular pressure and asthma symptoms, increase testosterone and bone mineral density, and improve metabolic health a",Metabolic Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Coleus forskohlii likely works by correcting or supporting nutrient-dependent physiological processes.,"Only a handful of clinical trials have looked at the effects of Coleus forskohlii in humans. Most of these trials have administered 250 mg of Coleus forskohlii extract standardized to contain 10% forskolin twice per day, for a total daily dose of 500 mg of Coleus forskohlii extract, equivalent to 50 mg of forskolin.","Daily, following dosage notes.",,"Coleus forskohlii is an Ayurvedic herb. Extremely limited research suggests that forskolin, the plant’s main bioactive compound, may reduce intraocular pressure and asthma symptoms, increase testosterone and bone mineral density, and improve metabolic health a Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Coleus forskohlii likely works by correcting or supporting nutrient-dependent physiological processes.",metabolic-health;cognition;exercise;hormones;heart-health,https://examine.com/supplements/coleus-forskohlii/,Paraphrased from public Examine page extraction; educational only.
Collagen Peptides,General Health,Collagen is a structural protein that makes up about one-third of the protein found in the human body.,General Health,Potential benefits are context-specific; review the source evidence before using Collagen Peptides in a protocol.,"Collagen Peptides is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain.",Formulation: Collagen peptides are most often sold as pills or as powder. There are also topical preparations available. Range of dosages studied: Hydrolyzed collagen has been studied at dosages ranging from 720 milligrams to 10 grams per day.,"Daily, following dosage notes.",,"Collagen is a structural protein that makes up about one-third of the protein found in the human body. Potential benefits are context-specific; review the source evidence before using Collagen Peptides in a protocol. Collagen Peptides is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain. Paraphrased from public Examine page extraction; educational only.",general-health;cognition;exercise;hormones,https://examine.com/supplements/collagen/,Paraphrased from public Examine page extraction; educational only.
Colostrum,Muscle Gain & Exercise,"Colostrum, also known as first milk, is a mammary secretion produced by cows and related animals.",Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Colostrum is discussed in relation to oxidative-stress or inflammatory pathways.,"The standard colostrum dose intended as a protein supplemented or intestinal health agent is between 20-60g. This dose contains 2-4g (10-20%) of immunoglobulin. Colostrum is supplemented through a powder form. A colostrum dose intended to reduce the risk of E. coli-induced diarrhea should contain between 400-3,500mg of immunoglobulins. It should be taken shortly after a meal.",With or shortly after meals.,,"Colostrum, also known as first milk, is a mammary secretion produced by cows and related animals. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Colostrum is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction; educational only.",muscle-gain-exercise;exercise;inflammation;gut-health,https://examine.com/supplements/colostrum/,Paraphrased from public Examine page extraction; educational only.
Coluracetam,Mental Health,Coluracetam (MKC-231) is a racetam drug purported to be a cognitive enhancing drug.,Mental Health,"Human evidence appears limited, so treat benefits as uncertain.",Coluracetam may influence choline availability and acetylcholine-related signaling.,"The animal research on coluracetam uses an oral dose of 300-3,000mcg/kg bodyweight, which is roughly translated into a human dose of 48-480mcg/kg or (for a 150lb person) 3.2-32.7mg overall. It appears to have very rapid kinetics, with a peak in blood at around 30 minutes and on the decline within 3 hours. Due to this, supplementation may be time-dependent in relation to activity.",,,"Coluracetam (MKC-231) is a racetam drug purported to be a cognitive enhancing drug. Human evidence appears limited, so treat benefits as uncertain. Coluracetam may influence choline availability and acetylcholine-related signaling. Evidence appears limited; human review recommended.",mental-health;cognition;experimental,https://examine.com/supplements/coluracetam/,Evidence appears limited; human review recommended.
Conjugated Linoleic Acid,Metabolic Health,CLAs are fatty acids that acts on a system known as PPAR to induce fat loss.,Metabolic Health,Potential benefits are context-specific; review the source evidence before using Conjugated Linoleic Acid in a protocol.,Conjugated Linoleic Acid is discussed in relation to oxidative-stress or inflammatory pathways.,"Supplementation of conjugated linoleic acid (CLA) tends to be in the range of 3,200-6,400mg daily, taken with meals. This dosage assumes that approximately 70% of the product by weight is comprised of one of the two main active isomers, cis-9 trans-11 (c9t11) and trans-10 cis-12 (t10c12). Limited studies using higher doses than the aforementioned have failed to find additional benefit,",With or shortly after meals.,,CLAs are fatty acids that acts on a system known as PPAR to induce fat loss. Potential benefits are context-specific; review the source evidence before using Conjugated Linoleic Acid in a protocol. Conjugated Linoleic Acid is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction; educational only.,metabolic-health;blood-sugar;lipids;inflammation,https://examine.com/supplements/conjugated-linoleic-acid/,Paraphrased from public Examine page extraction; educational only.
Convolvulus pluricaulis,Mental Health,"Convolvulus pluricaulis is one of four herbs referred to as Shankhapushpi in Ayurveda, and is traditionally used for its cognitive promiting and nootropic effects.",Mental Health,"Human evidence appears limited, so treat benefits as uncertain.",Mechanism details are not clear from the public summary; review the source before applying Convolvulus pluricaulis clinically.,No clear public dosage summary extracted; review source before use.,,,"Convolvulus pluricaulis is one of four herbs referred to as Shankhapushpi in Ayurveda, and is traditionally used for its cognitive promiting and nootropic effects. Human evidence appears limited, so treat benefits as uncertain. Mechanism details are not clear from the public summary; review the source before applying Convolvulus pluricaulis clinically. Check pregnancy/lactation safety before client use. Evidence appears limited; human review recommended.",mental-health;cognition;experimental,https://examine.com/supplements/convolvulus-pluricaulis/,Check pregnancy/lactation safety before client use. Evidence appears limited; human review recommended.
Copper,Immune & Inflammation,Copper is an essential mineral for antioxidative enzymes in the human body.,Immune & Inflammation,"Human evidence appears limited, so treat benefits as uncertain.",Copper is discussed in relation to oxidative-stress or inflammatory pathways.,"Supplementation of copper tends to be in the 1mg dosage, but at this moment in time there seems to be no major supplemental purpose of copper in any form. Doses of 1mg appear to be safe over the short term while higher doses should be avoided.",,,"Copper is an essential mineral for antioxidative enzymes in the human body. Human evidence appears limited, so treat benefits as uncertain. Copper is discussed in relation to oxidative-stress or inflammatory pathways. Evidence appears limited; human review recommended.",immune-inflammation;inflammation;hormones,https://examine.com/supplements/copper/,Evidence appears limited; human review recommended.
Cordyceps,General Health,Cordyceps is a mushroom used in Traditional Chinese Medicine that is touted to be anti-aging and pro-vitality; these quite vague claims have not yet been evaluated in human interventions.,General Health,Potential benefits are context-specific; review the source evidence before using Cordyceps in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Cordyceps clinically.,"Cordyceps has been used in human trials in the dosage range of 1,000-3,000mg daily, either in one single dose or multiple doses with meals. There is no indication if this is the optimal dose or not, and it is uncertain if this dosage is even effective as some of the research has come back null.",With or shortly after meals.,,Cordyceps is a mushroom used in Traditional Chinese Medicine that is touted to be anti-aging and pro-vitality; these quite vague claims have not yet been evaluated in human interventions. Potential benefits are context-specific; review the source evidence before using Cordyceps in a protocol. Mechanism details are not clear from the public summary; review the source before applying Cordyceps clinically. Paraphrased from public Examine page extraction; educational only.,general-health;cognition;exercise;hormones,https://examine.com/supplements/cordyceps/,Paraphrased from public Examine page extraction; educational only.
Cornelian Cherry Extract,Muscle Gain & Exercise,Cherry extract is a supplement made from Cornelian cherry (Cornus mas) that contains high levels of antioxidants.,Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Cornelian Cherry Extract is discussed in relation to oxidative-stress or inflammatory pathways.,No clear public dosage summary extracted; review source before use.,,,Cherry extract is a supplement made from Cornelian cherry (Cornus mas) that contains high levels of antioxidants. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Cornelian Cherry Extract is discussed in relation to oxidative-stress or inflammatory pathways. Check pregnancy/lactation safety before client use.,muscle-gain-exercise;blood-sugar;sleep;exercise;inflammation,https://examine.com/supplements/cherry-extract/,Check pregnancy/lactation safety before client use.
Cotton Seed,General Health,"Gossypium herbaceum is a species of cotton native to sub-Saharan Africa and Arabia, where it grows as a shrub or shrub-like plant.",General Health,Potential benefits are context-specific; review the source evidence before using Cotton Seed in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Cotton Seed clinically.,No clear public dosage summary extracted; review source before use.,,,"Gossypium herbaceum is a species of cotton native to sub-Saharan Africa and Arabia, where it grows as a shrub or shrub-like plant. Potential benefits are context-specific; review the source evidence before using Cotton Seed in a protocol. Mechanism details are not clear from the public summary; review the source before applying Cotton Seed clinically. Check pregnancy/lactation safety before client use.",general-health,https://examine.com/supplements/cotton-seed/,Check pregnancy/lactation safety before client use.
Creatine,Muscle Gain & Exercise,Creatine is among the most well-studied and effective supplements for improving exercise performance.,Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,"Creatine appears to act mainly through stimulant-like nervous-system pathways that can affect energy, alertness, or exertion.","There are many different forms of creatine available on the market, but creatine monohydrate is the most extensively researched and tends to be the cheapest form. Another option is micronized creatine monohydrate, which dissolves more easily in water. In most studies,",,,"Creatine is among the most well-studied and effective supplements for improving exercise performance. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Creatine appears to act mainly through stimulant-like nervous-system pathways that can affect energy, alertness, or exertion. Check pregnancy/lactation safety before client use.",muscle-gain-exercise;cognition;exercise;stimulant;hormones,https://examine.com/supplements/creatine/,Check pregnancy/lactation safety before client use.
Creatinol O-Phosphate,General Health,Creatinol O-Phosphate (COP) is a creatine analogue synthesized for the treatment of heart complications.,General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,"Creatinol O-Phosphate is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain.","Past studies used injections of up to 3g daily. There is currently no bioavailability data on how much is absorbed, but if it is 100% then this is the dose where benefits have been noted in humans.","Daily, following dosage notes.",,"Creatinol O-Phosphate (COP) is a creatine analogue synthesized for the treatment of heart complications. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Creatinol O-Phosphate is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain. Paraphrased from public Examine page extraction; educational only.",general-health;hormones;heart-health,https://examine.com/supplements/creatinol-o-phosphate/,Paraphrased from public Examine page extraction; educational only.
Cucurbita pepo,General Health,"Cucurbita pepo is a plant which has variants called pumpkin, squash, zucchini, and gourds; it is sometimes called pumpkin extract (either a water extract or seed oil) and appears to be a phytopharmaceutical for prostate disorders.",General Health,Potential benefits are context-specific; review the source evidence before using Cucurbita pepo in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Cucurbita pepo clinically.,No clear public dosage summary extracted; review source before use.,,,"Cucurbita pepo is a plant which has variants called pumpkin, squash, zucchini, and gourds; it is sometimes called pumpkin extract (either a water extract or seed oil) and appears to be a phytopharmaceutical for prostate disorders. Potential benefits are context-specific; review the source evidence before using Cucurbita pepo in a protocol. Mechanism details are not clear from the public summary; review the source before applying Cucurbita pepo clinically.",general-health,https://examine.com/supplements/cucurbita-pepo/,Check pregnancy/lactation safety before client use.
Curcumin,Mental Health,Curcumin is the primary bioactive substance in turmeric.,Mental Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Curcumin is discussed in relation to oxidative-stress or inflammatory pathways.,"Formulation Oral curcumin is commercially available in tablets, capsules, soft gels, powder, and liquid preparations. When taken orally, curcumin is poorly absorbed.",,,Curcumin is the primary bioactive substance in turmeric. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Curcumin is discussed in relation to oxidative-stress or inflammatory pathways. Check pregnancy/lactation safety before client use.,mental-health;inflammation,https://examine.com/supplements/curcumin/,Check pregnancy/lactation safety before client use.
Cyanidin,Muscle Gain & Exercise,"Cyanidin is one of the six Anthocyanin subsets, and its glucoside Cyanidin-3-Glucoside (C3G) has been garnering attention for its ability to decrease blood glucose levels, and its ability to not hinder muscle protein synthesis at the same time (downstream of A",Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Cyanidin is discussed in relation to oxidative-stress or inflammatory pathways.,"Benefits have been seen with blood sugar reductions in the range of 150mg/kg bodyweight, a dose well above what is achieved through foods. It is possible long-term benefits may be seen with a lower dose of cyanidin compounds through foods, due to the many correlations of plant intake and health; however, causation has not been given to cyanidins as of yet. Additionally,",,,"Cyanidin is one of the six Anthocyanin subsets, and its glucoside Cyanidin-3-Glucoside (C3G) has been garnering attention for its ability to decrease blood glucose levels, and its ability to not hinder muscle protein synthesis at the same time (downstream of A Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Cyanidin is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction;",muscle-gain-exercise;blood-sugar;exercise;inflammation;hormones,https://examine.com/supplements/cyanidin/,Paraphrased from public Examine page extraction; educational only.
D-Aspartic Acid,General Health,D-aspartic acid is an amino acid synthesized in the body and obtained through protein-containing foods or a dietary supplement.,General Health,Potential benefits are context-specific; review the source evidence before using D-Aspartic Acid in a protocol.,Mechanism details are not clear from the public summary; review the source before applying D-Aspartic Acid clinically.,"The standard dose for D-aspartic acid is between 2,000 – 3,000mg. D-AA is taken daily. Different studies have used different supplementation protocols. One study used 3,000mg for 12 days, taken daily, followed by a week with no supplementation. A different study did not cycle D-AA, and used 2,000mg of continual daily supplementation with no harm. Further study is needed to determine whether D-AA should be cycled.","Daily, following dosage notes.",,D-aspartic acid is an amino acid synthesized in the body and obtained through protein-containing foods or a dietary supplement. Potential benefits are context-specific; review the source evidence before using D-Aspartic Acid in a protocol. Mechanism details are not clear from the public summary; review the source before applying D-Aspartic Acid clinically. Paraphrased from public Examine page extraction; educational only.,general-health;cognition;exercise;hormones,https://examine.com/supplements/d-aspartic-acid/,Paraphrased from public Examine page extraction; educational only.
D-Ribose,Muscle Gain & Exercise,"Ribose is a five‑carbon sugar that forms the backbone of RNA and key energy molecules like ATP, NADH, and some B vitamins.",Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,"D-Ribose may affect metabolic signaling, glucose handling, or lipid-related pathways.","Formulation: D-ribose is taken in tablets/capsules or loose powder dissolved in water. Range of dosages studied: 3 to 60 grams per day, often divided into 3 to 4 doses throughout the day. Effective Dosages: Heart failure Adults: The effective dosage for improving symptoms of heart failure, e.g., increased left ventricular ejection fraction and exercise-capacity-with-heart-conditions,",Split across the day as described in dosage notes.,,"Ribose is a five‑carbon sugar that forms the backbone of RNA and key energy molecules like ATP, NADH, and some B vitamins. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. D-Ribose may affect metabolic signaling, glucose handling, or lipid-related pathways. Check pregnancy/lactation safety before client use.",muscle-gain-exercise;blood-sugar;stress;exercise;stimulant;inflammation;heart-health,https://examine.com/supplements/d-ribose/,Check pregnancy/lactation safety before client use.
D-Serine,Mental Health,D-Serine is an amino acid that plays a role in cognitive enhancement and schizophrenia treatment.,Mental Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying D-Serine clinically.,"The usual dose used in D-serine studies is 30 mg/kg of bodyweight. This correlates to an approximate dose range of 2,045 – 2,727 mg for people between 150 and 200 lbs. This dose appears to be the minimal effective dose for improving cognition in people suffering from a variety of diseases. Preliminary evidence suggests that doubling or quadrupling the dose to 60 mg/kg and 120 mg/kg, respectively,",,,D-Serine is an amino acid that plays a role in cognitive enhancement and schizophrenia treatment. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying D-Serine clinically. Paraphrased from public Examine page extraction; educational only.,mental-health;cognition;hormones,https://examine.com/supplements/d-serine/,Paraphrased from public Examine page extraction; educational only.
Dactylorhiza hatagirea,Muscle Gain & Exercise,Dactylorhiza hatagirea is an ayurvedic sexual stimulant.,Muscle Gain & Exercise,"Human evidence appears limited, so treat benefits as uncertain.","Dactylorhiza hatagirea appears to act mainly through stimulant-like nervous-system pathways that can affect energy, alertness, or exertion.",There is currently not enough information to recommend a supplemental dose of this herb.,,,"Dactylorhiza hatagirea is an ayurvedic sexual stimulant. Human evidence appears limited, so treat benefits as uncertain. Dactylorhiza hatagirea appears to act mainly through stimulant-like nervous-system pathways that can affect energy, alertness, or exertion. Check pregnancy/lactation safety before client use. Evidence appears limited; human review recommended.",muscle-gain-exercise;cognition;exercise;stimulant;hormones;experimental,https://examine.com/supplements/dactylorhiza-hatagirea/,Check pregnancy/lactation safety before client use. Evidence appears limited; human review recommended.
